127.0.0.1 - - [12/Nov/2016:14:56:11 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Nov/2016:14:56:14 +0530] "GET /CollabPortal/ HTTP/1.1" 200 14551
0:0:0:0:0:0:0:1 - - [12/Nov/2016:14:56:14 +0530] "GET /CollabPortal/resources/css/animate-custom.css;jsessionid=FA58D78FA063E6B26BFA93A59CB2F77C HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Nov/2016:14:56:14 +0530] "GET /CollabPortal/resources/css/style.css;jsessionid=FA58D78FA063E6B26BFA93A59CB2F77C HTTP/1.1" 200 11976
0:0:0:0:0:0:0:1 - - [12/Nov/2016:14:56:15 +0530] "GET /CollabPortal/resources/images/wooden.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2016:14:56:27 +0530] "GET /CollabPortal/signup HTTP/1.1" 200 15067
0:0:0:0:0:0:0:1 - - [12/Nov/2016:14:56:27 +0530] "GET /CollabPortal/resources/css/animate-custom.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Nov/2016:14:56:27 +0530] "GET /CollabPortal/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2016:14:56:27 +0530] "GET /CollabPortal/signup HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2016:14:59:39 +0530] "GET /CollabPortal/resources/css/animate-custom.css;jsessionid=FA58D78FA063E6B26BFA93A59CB2F77C HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Nov/2016:14:59:57 +0530] "GET /CollabPortal/resources/css/animate-custom.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Nov/2016:15:00:25 +0530] "GET /CollabPortal/resources/css/animate-custom.css;jsessionid=FA58D78FA063E6B26BFA93A59CB2F77C HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Nov/2016:15:01:29 +0530] "GET /CollabPortal/ HTTP/1.1" 200 14456
0:0:0:0:0:0:0:1 - - [12/Nov/2016:15:01:30 +0530] "GET /CollabPortal/resources/css/animate-custom.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Nov/2016:15:01:30 +0530] "GET /CollabPortal/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2016:15:01:30 +0530] "GET /CollabPortal/resources/images/wooden.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2016:15:01:33 +0530] "GET /CollabPortal/signup HTTP/1.1" 200 15067
0:0:0:0:0:0:0:1 - - [12/Nov/2016:15:01:33 +0530] "GET /CollabPortal/resources/css/animate-custom.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Nov/2016:15:01:36 +0530] "GET /CollabPortal/resources/css/animate-custom.css HTTP/1.1" 404 992
