127.0.0.1 - - [21/Nov/2016:15:47:45 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:47:46 +0530] "GET /Collab/ HTTP/1.1" 200 1917
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:47:46 +0530] "GET /Collab/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:47:46 +0530] "GET /Collab/css/home.css HTTP/1.1" 200 56436
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:47:46 +0530] "GET /Collab/images/banner1.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:47:46 +0530] "GET /Collab/images/banner2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:47:46 +0530] "GET /Collab/images/banner3.jpg HTTP/1.1" 200 104904
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:47:49 +0530] "GET /Collab/signin.html HTTP/1.1" 200 2281
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:47:49 +0530] "GET /Collab/css/animate-custom.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:47:49 +0530] "GET /Collab/css/style.css HTTP/1.1" 200 11969
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:47:49 +0530] "GET /Collab/images/wooden.jpg HTTP/1.1" 200 613703
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:47:51 +0530] "GET /Collab/images/banner2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:47:51 +0530] "GET /Collab/images/banner1.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:47:53 +0530] "GET /Collab/signup.html HTTP/1.1" 200 2935
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:47:53 +0530] "GET /Collab/css/animate-custom.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:48:04 +0530] "GET /Collab/signup.html HTTP/1.1" 200 2935
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:48:04 +0530] "GET /Collab/css/animate-custom.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:48:04 +0530] "GET /Collab/css/style.css HTTP/1.1" 200 11969
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:48:05 +0530] "GET /Collab/images/wooden.jpg HTTP/1.1" 200 613703
0:0:0:0:0:0:0:1 - - [21/Nov/2016:15:48:05 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
